SYM_ROOT,DATE,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
JPM,2019-06-19,107.54361915995398,108.21811801801802,13.860584681760754,14.995115200144198,25.67,25.68,110.73,111.29
JPM,2019-06-20,108.83080234788359,109.3313100204499,11.041953293365237,11.330667750521789,25.67,25.94,110.45,111.15
JPM,2019-06-21,108.87079958275382,109.16264066455696,6.839731092273081,9.977119353490533,25.7,25.65,110.5365,110.6
JPM,2019-06-24,107.19643924865832,108.20392209302327,10.948487562848678,8.91211312665134,25.74,25.69,109.2268,109.7
JPM,2019-06-25,105.23152278074866,106.98295404530744,14.295308308453112,11.378240421162436,25.67,25.71,108.66,109.2423
JPM,2019-06-26,102.2607025869038,106.27635995475114,21.75777235156964,12.801112724257255,25.63,25.74,108.59,108.6
JPM,2019-06-27,106.25954742634009,107.28726378504673,15.581606246282073,11.900698727008736,25.615,25.66,110.95,109.31
JPM,2019-06-28,108.61091530674226,110.84001008946322,16.282158642980967,4.9976696648615855,25.61,25.63,112.09,111.4
JPM,2019-07-01,111.47854091059057,112.26859508982035,13.79279808263451,8.988533172541155,25.71,25.75,114.485,113.41
JPM,2019-07-02,109.83504657458563,112.11406537037037,18.183673716122307,11.206110556950037,25.78,25.77,113.99,113.86
JPM,2019-07-03,112.7375,112.25783730297724,0.03862210075419045,10.252992672746599,112.7,25.71,112.78,113.87
JPM,2019-07-05,109.3083175592625,112.78415870445345,18.377964338500906,8.312735989991866,25.7,25.8,113.49,113.94
JPM,2019-07-08,110.46099682638457,107.7492791512915,14.267207211777436,20.39687748495657,25.69,25.71,113.0157,113.49
JPM,2019-07-09,109.9999610645933,110.37088484848485,16.7729253737469,12.82740177453667,25.72,25.69,113.5,113.0
JPM,2019-07-10,104.6460493765586,112.13293762597985,25.54925802098959,10.82146934754936,25.78,25.76,113.1792,114.05
JPM,2019-07-11,111.27055543543543,112.06916321243523,15.554118146200716,10.789361366324025,25.78,25.78,114.33,113.75
JPM,2019-07-12,110.96596944948578,112.7392818,19.12589668722343,11.717861633797641,25.75,25.79,115.35,114.88
JPM,2019-07-15,111.81136831156266,115.07977701492538,13.036527586673179,7.53569281589125,25.73,25.75,114.1081,116.75
JPM,2019-07-16,111.57640390218523,112.66715088217703,17.55835154940179,3.431114036478036,25.58,25.7,115.38,115.42
JPM,2019-07-17,111.3086,112.7556199681782,15.107434623893765,12.130112496736958,25.55,25.59,114.2314,115.38
JPM,2019-07-18,96.67053514442915,111.59313752535496,35.590868973939244,13.457330511918908,25.57,25.58,114.85,113.99
JPM,2019-07-19,107.58545261239368,112.49117335907336,21.977682882397996,13.841935747365044,25.56,25.64,114.2347,114.97
JPM,2019-07-22,104.30160474060823,110.93574592833876,27.936931392761032,13.359105293427724,25.55,25.6,114.39,113.85
JPM,2019-07-23,111.64695846383297,113.66665009345795,20.028916806736227,10.766260905045016,25.45,25.55,116.5,115.15
JPM,2019-07-24,105.25271076260763,107.67337813953489,30.189041015765905,25.617735353521454,25.39,25.47,116.87,116.36
JPM,2019-07-25,112.19049545199326,115.22709660194175,17.340543586654007,12.492689716418202,25.4,25.39,116.684,117.1
JPM,2019-07-26,111.20902446717818,112.8609823117338,20.637266703494593,15.948664866844883,25.4,25.44,116.38,116.35
JPM,2019-07-29,109.55923948087431,114.9071644,22.86628506845863,11.320975951818642,25.41,25.42,116.555,116.79
JPM,2019-07-30,108.1688332107843,113.67460230414747,24.561983335748057,10.915695514904327,25.41,25.44,115.98,115.85
JPM,2019-07-31,109.43403073690111,113.92212949640287,22.72687045793427,13.027524403519507,25.425,25.41,116.14,116.18
JPM,2019-08-01,109.7482975049505,113.15719816849817,16.266398023773878,14.129689581261946,25.13,25.111,116.285,116.39
JPM,2019-08-02,107.59665202524987,110.0734850187266,20.771548704936514,14.849172462036977,25.0,25.14,113.23,113.28
JPM,2019-08-05,107.76297642710472,109.40778447146866,11.795508466825282,10.246769701674728,24.98,24.59,109.61,112.93
JPM,2019-08-06,107.26856261799875,108.15794164969451,16.02720378761443,12.443294444593397,24.95,24.97,110.5,110.63
JPM,2019-08-07,106.1152778504291,106.6961659437751,12.500576975732823,10.732601763858213,24.95,24.97,108.32,110.9
JPM,2019-08-08,107.09192481296759,107.97232905172415,14.940337717611008,9.663030968043225,24.95,25.59,109.95,109.57
JPM,2019-08-09,106.48022558004641,98.77836183431954,16.117904392133035,27.62544507853218,24.96,24.59,109.8164,109.86
JPM,2019-08-12,103.37306660914581,106.44683841229194,18.222854453570374,11.995682188684915,24.9698,24.96,107.8749,109.74
JPM,2019-08-13,104.37489898670044,104.48900167014614,19.55766704306786,15.062755850356362,24.97,24.96,110.15,107.96
JPM,2019-08-14,102.04124994148624,105.13008049832295,14.481286359282832,10.008703079719394,24.9759,24.96,104.96,109.34
JPM,2019-08-15,98.74642277904327,104.15000497147514,21.590567669760837,8.95852415452057,24.98,24.98,110.1,105.9599
JPM,2019-08-16,101.59884076212471,104.60757817509247,21.476501604548606,11.121237023760946,24.96,24.97,107.98,106.7
JPM,2019-08-19,102.2148485856905,107.96926651982379,22.20558241440759,11.664902165028803,24.97,24.96,108.78,109.9
JPM,2019-08-20,101.43337110641298,105.46129589285715,20.917532755545526,14.008259414911516,24.98,24.98,108.085,108.69
JPM,2019-08-21,101.6871921460177,105.7445129429892,21.15271342501194,13.363473493893459,24.97,24.97,108.24,108.58
JPM,2019-08-22,104.13416666666666,106.63061674418604,18.907031570178646,11.917914911376586,24.98,25.77,109.28,108.6
JPM,2019-08-23,104.21490350047304,106.1596075409836,11.160327231170301,12.661572699548538,24.98,25.0,106.4046,109.55
JPM,2019-08-26,102.03739482120838,104.43232628434886,18.905741812242514,13.16388458905187,24.98,24.98,107.08,107.29
JPM,2019-08-27,102.44007593360996,103.94627983870969,15.95781340962021,16.238532836318182,24.98,24.98,105.86,107.575
JPM,2019-08-28,102.07725443786981,102.92620536912752,19.00434393457029,13.914435706728352,24.98,24.98,107.11,105.74
JPM,2019-08-29,98.71551810874703,106.03095099540582,27.466520426777514,13.02611414484252,24.99,25.01,109.39,108.39
JPM,2019-08-30,88.86772813732313,106.46615117449664,36.326790539231794,16.831152615633247,24.99,24.99,109.99,110.18
JPM,2019-09-03,98.81271794710327,101.6405009174312,26.530706442740073,23.27173946802284,25.75,25.7245,108.67,109.86
JPM,2019-09-04,106.19974326396496,107.02014434968017,17.09804318262099,14.595347868392736,25.75,25.7,110.08,109.86
JPM,2019-09-05,102.23452858399297,110.45311167381975,27.636035668227112,8.917398619335012,25.65,25.77,112.8398,111.9
JPM,2019-09-06,97.19054799506478,109.51204291938997,33.15536295204172,15.76426151328038,25.5999,25.67,112.74,113.09
JPM,2019-09-09,111.9347815955711,112.15830416666667,17.228966026657247,12.071909200932122,25.59,25.66,115.74,114.09
JPM,2019-09-10,112.02385628363407,115.10097778810409,19.878232177135988,10.552699014146206,25.56,25.61,116.87,116.7484
JPM,2019-09-11,106.37337240230488,111.76325517841602,29.292362208554078,20.09698876653539,25.57,25.5743,117.65,117.28
JPM,2019-09-12,114.21035815363881,114.72896682286786,18.122667770101724,12.214613261472541,25.6,25.71,118.18,117.5
JPM,2019-09-13,114.21790873786408,118.26710107784432,23.00315227437935,8.130346114992491,25.49,25.62,120.29,119.22
JPM,2019-09-16,116.28533763493621,117.82411173814899,16.036032571877108,9.43006253201315,25.45,25.53,119.34,120.23
JPM,2019-09-17,112.99641994186045,116.99731744471744,21.99099521164185,11.105655188627944,25.53,25.49,118.82,119.16
JPM,2019-09-18,114.50662835325366,115.48963269961976,21.463632267527053,15.288080667414302,25.44,25.54,119.99,118.57
JPM,2019-09-19,111.1893910086891,117.26413756260433,26.512930673137223,14.607416324332748,25.4,25.48,119.8,119.8
JPM,2019-09-20,111.65276297893297,116.74508392101552,24.947865464474997,16.228041888587892,25.4,25.44,120.089294,119.9
JPM,2019-09-23,113.99104951314509,116.08603224242424,20.626278954176783,13.023417205723995,25.46,25.49,119.5,118.9
JPM,2019-09-24,112.6674945078158,116.6014204906205,19.9793658830857,13.877742403946772,25.45,25.49,118.89,119.5
JPM,2019-09-25,111.37437244582043,114.79650706401766,23.767988949882767,14.604566546583241,25.39,25.49,118.275,117.69
JPM,2019-09-26,111.11243549636804,113.80842141230067,22.409669082242054,18.691286741612156,25.38,25.48,117.23,118.1
JPM,2019-09-27,110.72730623425693,116.43752347480105,24.265535564569372,11.9464874254494,25.35,25.39,117.948,118.29
JPM,2019-09-30,109.34020237027546,115.69701982142858,26.281769684299775,15.83407752818486,25.42,25.48,118.05,118.7
JPM,2019-10-01,111.68592411665733,116.42919285714287,18.03040012963706,13.688140512364672,25.54,25.45,115.94,119.15
JPM,2019-10-02,108.8787757984032,113.44864622266401,18.794076062129125,10.334935321453505,25.57,25.57,113.6384,115.55
JPM,2019-10-03,109.66711766839377,110.44854130434783,14.122617492844975,12.176337368423825,25.54,25.48,112.35,113.25
JPM,2019-10-04,106.99459165076335,109.92529476661952,24.941289096242787,14.244592456390432,25.62,25.5101,117.205,112.7
JPM,2019-10-07,110.59863014778325,112.24095327731091,18.127998076831613,13.33295300032304,25.61,25.63,114.6864,114.88
JPM,2019-10-08,108.34675064748201,110.58512086466165,16.93378150040607,14.329992500362636,25.59,25.64,112.2142,114.37
JPM,2019-10-09,105.1064019481132,110.58221669724772,24.226744317390875,13.13441213250116,25.54,25.65,112.83,113.05
JPM,2019-10-10,109.25090402144771,110.45826057692308,20.208133496352275,15.100933246945603,25.57,25.6,114.55,113.75
JPM,2019-10-11,113.40046672362239,114.08288706395348,15.42855909819943,13.549403014931697,25.595,25.62,116.47,116.46
JPM,2019-10-14,109.51240329985653,113.82750431034482,23.888885298506292,12.958551181252178,25.66,25.6,116.77,116.5
JPM,2019-10-15,115.01977414584395,118.40078334583644,21.0125079578198,5.212317664864268,25.71,25.68,120.27,119.39
JPM,2019-10-16,110.36593955500618,118.46839344660194,27.92618597453001,12.108826774360768,25.72,25.71,119.94,120.38
JPM,2019-10-17,114.99739018538713,118.75791572104019,21.771180008477916,12.824217836634112,25.73,25.73,120.6551,120.83
JPM,2019-10-18,116.70766035897437,118.32079582172702,18.89336234298402,12.46549305093064,25.66,25.7,120.92,120.85
JPM,2019-10-21,117.53780901639344,121.08207705627706,23.300857786957653,10.08599610172296,25.66,25.7,123.7,122.46
JPM,2019-10-22,120.98807008501595,120.3583571197411,18.54313014855748,17.078041067470053,25.73,25.69,124.9,123.91
JPM,2019-10-23,121.33512577847026,122.03920677466864,18.77564544505643,14.823106887831111,25.77,25.724,125.25,124.85
JPM,2019-10-24,119.398723510467,123.74534225721786,22.972574130343148,12.790851408695039,25.73,25.75,125.36,125.65
JPM,2019-10-25,122.93842532391048,122.12272351916376,17.44210615552312,16.63229710111452,25.7452,25.77,126.4,125.25
JPM,2019-10-28,121.64144828116983,123.88735958549222,21.711564601523623,16.41384774189911,25.78,25.78,126.96,127.0
JPM,2019-10-29,120.0106895284752,121.69395635738832,24.44852215327189,20.6542230062214,25.81,25.8,126.68,126.51
JPM,2019-10-30,118.22302561924981,124.57355655021834,26.05684130226342,11.27713124753507,25.73,25.82,126.25,126.75
JPM,2019-10-31,115.1574302785265,113.68134881422924,29.276099607440084,32.00180800773252,25.01,25.12,125.73,125.93
JPM,2019-11-01,120.24139651216154,123.36334788135592,26.734537872693096,16.661202682729712,25.0265,25.04,128.0,126.53
JPM,2019-11-04,124.8298086231884,127.26414419847329,19.888083251088034,13.854639535606818,24.98,24.9,129.39,129.5
JPM,2019-11-05,122.19282602272727,127.64494267676767,25.51409632376096,13.63673247481338,24.9725,25.0,129.63,129.79
JPM,2019-11-06,119.6156159974506,126.48464881398252,29.89515684787623,15.237869959949368,24.96,24.99,129.55,129.15
JPM,2019-11-07,124.05614460535844,128.23479289740698,24.248638355361233,15.113102997384582,24.95,24.96,130.32,130.87
JPM,2019-11-08,124.71845039432176,126.61232292020374,23.479390913451468,18.42715170264001,24.97,24.96,130.64,130.89
JPM,2019-11-11,124.8571399778761,126.85625839137646,22.357718789226595,16.626711462361545,24.97,25.0,130.0,130.38
JPM,2019-11-12,124.19896111430212,125.62456242236026,22.062391462334634,20.367584306222387,24.97,25.29,139.3,130.34
JPM,2019-11-13,120.6998371320038,125.65967234944868,27.15517088566753,15.250631502503216,24.95,24.9699,128.53,129.16
JPM,2019-11-14,122.10608619909502,121.62440129240711,25.104298261096837,24.60121190138064,24.97,24.97,128.99,128.48
JPM,2019-11-15,125.96847534300274,123.97863368700266,18.55518516051864,22.677878749901147,24.96,24.97,129.59,129.45
JPM,2019-11-18,123.90047910264289,126.51314692307692,25.60207969047964,17.538857009302582,24.98,24.97,130.8,130.2
JPM,2019-11-19,115.34220436052836,126.16967860576923,37.03174813925423,21.942189772427096,24.97,24.97,130.69,131.21
JPM,2019-11-20,123.5442180746562,123.38629755700326,24.24106808330111,25.457250298127413,24.98,25.0,129.7607,130.58
JPM,2019-11-21,120.8139249622926,126.90792210084032,29.47372009608897,17.599022107832052,24.98,25.0,130.1,130.14852
JPM,2019-11-22,124.98319194461926,126.56701282051282,24.004596792332595,19.462176027638236,24.98,25.2,130.99,130.51
JPM,2019-11-25,122.2618886962552,107.22435121951219,29.895105300840097,44.513146141011475,24.98,24.9864,131.65,131.74
