SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
AAPL,2019-03-05,567647.0,6887367.0,Tuesday,42.14531767259841,42.159689709266736,41.809954311368514,42.04710388183594,78949600.0,175.56232671378092,175.80321271929824,0.1193870298299845,0.116844353961195,175.01,175.3,175.75,176.3
AAPL,2019-03-06,959297.0,5553142.0,Wednesday,41.84108679138863,42.03751432892731,41.66622095917077,41.80515670776367,83241600.0,174.58197734354368,174.74181897116645,0.1119837203945378,0.181946092026378,174.12,174.45,175.21,175.53
AAPL,2019-03-07,682363.0,7455710.0,Thursday,41.64945507831872,41.78599671926349,41.20630149951515,41.32128143310547,99185600.0,172.54069211948791,174.06396945244956,0.0544889607062413,0.2108698008955548,172.31,173.72,173.0841,174.7499
AAPL,2019-03-08,1576893.0,6882384.0,Friday,40.79906240398507,41.45780721837074,40.60263492304421,41.41947937011719,95997600.0,172.98828199860725,170.22352650375942,0.0927621818909628,0.5637183019090285,171.1682,169.5,173.45,172.5
AAPL,2019-03-11,1528409.0,7464721.0,Monday,42.03751009861208,42.90705093114504,42.00397413888829,42.85435104370117,128044000.0,179.02978336472066,175.73444414596273,0.2333965036968332,0.4221459308309355,176.4315,172.91,179.84,176.35
AAPL,2019-03-12,1423486.0,7177312.0,Tuesday,43.11784894516063,43.75742993256308,42.96693530420606,43.33583450317383,129870400.0,180.87779360433603,179.7565944838976,0.0840088709335322,0.2188357207024646,180.69,178.9,181.3,180.08
AAPL,2019-03-13,1003491.0,12014870.0,Wednesday,43.65682922421182,43.908350782047165,43.33823573830651,43.5274772644043,124130000.0,181.80904332431768,182.0996525142561,0.231422370457092,0.3321685368581745,181.5,180.91,182.75,182.59
AAPL,2019-03-14,1386189.0,6800117.0,Thursday,44.05206688333284,44.0999785277812,43.73107933434246,44.01134490966797,94318000.0,183.848840990991,183.70795129295075,0.1197671755952257,0.3485939786175333,183.2914,181.71,184.2,184.2
AAPL,2019-03-15,12168354.0,10578562.0,Friday,44.27964450542116,44.87371172513711,44.01375091167336,44.5838623046875,156171600.0,186.10936548490395,184.7109193303253,0.0936155579165209,0.1961784647458413,183.73,183.73,186.4714,185.33
AAPL,2019-03-18,1070476.0,5345322.0,Monday,44.50720669034818,45.127623807917495,44.50480891478156,45.03899383544922,104879200.0,188.06228150829563,186.0366326691267,0.1476789847393761,0.2016566416642938,182.5239,185.5,188.5,186.85
AAPL,2019-03-19,1218761.0,7803893.0,Tuesday,45.11804283392589,45.271350606371485,44.53594992962055,44.682071685791016,126585600.0,186.35796239982676,188.51840404594543,0.2370420855714299,0.3278800565377761,173.51,188.0,187.3988,189.3
AAPL,2019-03-20,747585.0,6475277.0,Wednesday,44.61020774750013,45.391122295316464,44.250892314130574,45.07252883911133,124140800.0,188.1843345702592,186.3611262187628,0.1290615333950549,0.1520327574737508,185.9644,185.51,188.5,187.0
AAPL,2019-03-21,2292908.0,12902356.0,Thursday,45.51808622135935,47.02960609542907,45.46778044568341,46.73257064819336,204136800.0,195.4496369189907,190.03451324979457,0.2360600245068534,0.4653026054966938,192.0973,188.0,195.98,190.65
AAPL,2019-03-22,1637986.0,6072108.0,Friday,46.79245696182492,47.35538601639792,45.7001384735137,45.76481628417969,169630800.0,191.0958582599689,195.2408224577485,0.1018863522722662,0.3022773039634041,190.93,194.51,194.1827,197.0
AAPL,2019-03-25,1785892.0,3787830.0,Monday,45.87499712059471,45.9875829138425,44.69884073019582,45.211463928222656,175381200.0,188.79727865927595,191.50018665466413,0.171342886686881,0.72822746272387,188.3,189.53,189.31,193.0
AAPL,2019-03-26,1890288.0,9305404.0,Tuesday,45.91093815731151,46.20318171113243,44.21496862789286,44.74435806274414,199202000.0,187.03333861458032,191.4306534829407,0.6139708811564099,0.6661905241105462,186.42,188.0,189.36,192.37
AAPL,2019-03-27,967077.0,5258457.0,Wednesday,45.21386529708369,45.4558030750062,44.68686998226612,45.14679336547852,119393600.0,188.4260434807418,188.47308591869185,0.5868507614641378,0.327699527805638,154.68,186.79,188.88,190.002
AAPL,2019-03-28,572245.0,2225157.0,Thursday,45.26176285876922,45.40788460216888,44.92161138260754,45.206668853759766,83121600.0,188.69507929946357,188.57566632434745,0.1621255936007344,0.3857444834763091,188.49,187.66,189.5,189.13
AAPL,2019-03-29,1079401.0,9242402.0,Friday,45.47256818961012,45.53245409772658,45.16355485684754,45.501312255859375,94256000.0,189.95084524041584,189.7502762341851,0.0574250620364837,0.2847890103177027,189.4956,188.72,190.15,190.34
AAPL,2019-04-01,1108489.0,8272536.0,Monday,45.90614543623363,45.91572557407298,45.12523444464125,45.81032943725586,111448000.0,191.156808959295,191.44639791363417,0.0627851289818459,0.327120465542385,190.292,189.95,191.57,192.28
AAPL,2019-04-02,639620.0,4165647.0,Tuesday,45.77438881230826,46.581653285633685,45.764808675909656,46.47625350952149,91062800.0,194.13027627950456,191.14729535714287,0.2092193200691634,0.1912048174222195,193.0894,190.5,194.46,191.71
