SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME
AAPL,2019-10-04,2184067.0,4833413.0,Friday,54.46492706842939,54.911481082685206,54.04251250262735,54.79561614990234,138478800.0
AAPL,2019-10-07,880301.0,3323097.0,Monday,54.61699366730349,55.50044069816068,54.513198466013634,54.80768203735352,122306000.0
AAPL,2019-10-08,986351.0,5632852.0,Tuesday,54.50838908862601,55.04907749217713,54.14873185484969,54.165626525878906,111820000.0
AAPL,2019-10-09,1024230.0,3014463.0,Wednesday,54.80044174194336,54.98388901728139,54.464924052724605,54.80044174194336,74770400.0
AAPL,2019-10-10,968906.0,3295954.0,Thursday,55.01767760807332,55.62354306025497,54.8656108895864,55.539058685302734,113013600.0
AAPL,2019-10-11,1773476.0,5846773.0,Friday,56.22940378915748,57.36147524013312,56.07492091911326,57.01630401611328,166795600.0
AAPL,2019-10-14,1736096.0,3396466.0,Monday,56.70011118702087,57.47977056045112,56.64459486661708,56.93424987792969,96427600.0
AAPL,2019-10-15,921912.0,5362838.0,Tuesday,57.05975373321844,57.363890864446056,56.69527167001342,56.80147933959961,87360000.0
AAPL,2019-10-16,1674296.0,4210391.0,Wednesday,56.33078671158516,56.78216931364028,56.28975259924604,56.57216644287109,73903200.0
AAPL,2019-10-17,1043114.0,2764539.0,Thursday,56.74596922462551,57.00183119142603,56.36700490110861,56.79183197021485,67585200.0
AAPL,2019-10-18,3632164.0,5065175.0,Friday,56.62528130439812,57.3470081674151,56.55286663427938,57.06459426879883,97433600.0
AAPL,2019-10-21,1271089.0,5231787.0,Monday,57.33252940146165,58.17011757690164,57.28425417954752,58.05425262451172,87247200.0
AAPL,2019-10-22,1102768.0,4346096.0,Tuesday,58.21114086159737,58.46217417871,57.83941398742584,57.921485900878906,82293600.0
AAPL,2019-10-23,1366670.0,3433488.0,Wednesday,58.43804355936346,58.71321634874968,58.22562818399061,58.69873046875,75828800.0
AAPL,2019-10-24,1286884.0,3298870.0,Thursday,59.01977334585594,59.089775550159175,58.36804862498649,58.795291900634766,69275200.0
