Date,SYM_ROOT,EWO,EWO_lag_1,EWO_lag_2
2019-12-20,ABBV,0.014788223403756703,0.016249897285335987,0.015091482728365075
2019-12-23,ABBV,0.014807027482837166,0.014788223403756703,0.016249897285335987
2019-12-24,ABBV,0.014326282874895763,0.014807027482837166,0.014788223403756703
2019-12-26,ABBV,0.012944638930434382,0.014326282874895763,0.014807027482837166
2019-12-27,ABBV,0.012196028744521758,0.012944638930434382,0.014326282874895763
2019-12-30,ABBV,0.011513877340230811,0.012196028744521758,0.012944638930434382
2019-12-31,ABBV,0.009594771402563085,0.011513877340230811,0.012196028744521758
2020-01-02,ABBV,0.007139973326975081,0.009594771402563085,0.011513877340230811
2020-01-03,ABBV,0.006171864272767948,0.007139973326975081,0.009594771402563085
2020-01-06,ABBV,0.004535866751448149,0.006171864272767948,0.007139973326975081
2020-01-07,ABBV,0.004316694803941818,0.004535866751448149,0.006171864272767948
2020-01-08,ABBV,0.004528407284705217,0.004316694803941818,0.004535866751448149
2020-01-09,ABBV,0.00548397011459265,0.004528407284705217,0.004316694803941818
2020-01-10,ABBV,0.005983674884221569,0.00548397011459265,0.004528407284705217
2020-01-13,ABBV,0.006379930380487976,0.005983674884221569,0.00548397011459265
2020-01-14,ABBV,0.005181290943975868,0.006379930380487976,0.005983674884221569
2020-01-15,ABBV,0.005278823463244596,0.005181290943975868,0.006379930380487976
2020-01-16,ABBV,0.005623408391328781,0.005278823463244596,0.005181290943975868
2020-01-17,ABBV,0.005472764060416433,0.005623408391328781,0.005278823463244596
2020-01-21,ABBV,0.00537990710356378,0.005472764060416433,0.005623408391328781
2020-01-22,ABBV,0.005977782395646792,0.00537990710356378,0.005472764060416433
2020-01-23,ABBV,0.004752416796011634,0.005977782395646792,0.00537990710356378
2020-01-24,ABBV,0.00031343888617780223,0.004752416796011634,0.005977782395646792
2020-01-27,ABBV,-0.0060568099918250655,0.00031343888617780223,0.004752416796011634
2020-01-28,ABBV,-0.010354558061849994,-0.0060568099918250655,0.00031343888617780223
2020-01-29,ABBV,-0.015014494426807272,-0.010354558061849994,-0.0060568099918250655
2020-01-30,ABBV,-0.01933784669469488,-0.015014494426807272,-0.010354558061849994
2020-01-31,ABBV,-0.022935841307026136,-0.01933784669469488,-0.015014494426807272
2020-02-03,ABBV,-0.02525094499479487,-0.022935841307026136,-0.01933784669469488
2020-02-04,ABBV,-0.02679984463664796,-0.02525094499479487,-0.022935841307026136
2020-02-05,ABBV,-0.025561398353133487,-0.02679984463664796,-0.02525094499479487
2020-02-06,ABBV,-0.021418472274956354,-0.025561398353133487,-0.02679984463664796
2020-02-07,ABBV,-0.014799439502680284,-0.021418472274956354,-0.025561398353133487
2020-02-10,ABBV,-0.00216772944191248,-0.014799439502680284,-0.021418472274956354
2020-02-11,ABBV,0.010927969526586217,-0.00216772944191248,-0.014799439502680284
2020-02-12,ABBV,0.02245139796005382,0.010927969526586217,-0.00216772944191248
2020-02-13,ABBV,0.032928382547546126,0.02245139796005382,0.010927969526586217
2020-02-14,ABBV,0.04054474643525899,0.032928382547546126,0.02245139796005382
2020-02-18,ABBV,0.04151043405250989,0.04054474643525899,0.032928382547546126
2020-02-19,ABBV,0.03951200867992138,0.04151043405250989,0.04054474643525899
2020-02-20,ABBV,0.03656923446116421,0.03951200867992138,0.04151043405250989
2020-02-21,ABBV,0.031699340337003196,0.03656923446116421,0.03951200867992138
2020-02-24,ABBV,0.030061471279975428,0.031699340337003196,0.03656923446116421
2020-02-25,ABBV,0.028326081430208212,0.030061471279975428,0.031699340337003196
2020-02-26,ABBV,0.02332789190404281,0.028326081430208212,0.030061471279975428
2020-02-27,ABBV,0.01710715061768809,0.02332789190404281,0.028326081430208212
2020-02-28,ABBV,0.007805328009924145,0.01710715061768809,0.02332789190404281
2019-01-02,BABA,-0.03976609180006159,-0.04495874620902233,-0.048689739707634176
2019-01-03,BABA,-0.03508565187617131,-0.03976609180006159,-0.04495874620902233
2019-01-04,BABA,-0.039098401847204596,-0.03508565187617131,-0.03976609180006159
2019-01-07,BABA,-0.03785048307581556,-0.039098401847204596,-0.03508565187617131
2019-01-08,BABA,-0.03455251157957195,-0.03785048307581556,-0.039098401847204596
2019-01-09,BABA,-0.027183000681584794,-0.03455251157957195,-0.03785048307581556
2019-01-10,BABA,-0.015969145132378165,-0.027183000681584794,-0.03455251157957195
2019-01-11,BABA,-0.001144272835885049,-0.015969145132378165,-0.027183000681584794
2019-01-14,BABA,0.006509639404025348,-0.001144272835885049,-0.015969145132378165
2019-01-15,BABA,0.010314702657429632,0.006509639404025348,-0.001144272835885049
2019-01-16,BABA,0.01288734098371792,0.010314702657429632,0.006509639404025348
2019-01-17,BABA,0.014379319664220699,0.01288734098371792,0.010314702657429632
2019-01-18,BABA,0.017197770871521495,0.014379319664220699,0.01288734098371792
2019-01-22,BABA,0.02086699690881642,0.017197770871521495,0.014379319664220699
2019-01-23,BABA,0.023434981546948837,0.02086699690881642,0.017197770871521495
2019-01-24,BABA,0.02459254988033917,0.023434981546948837,0.02086699690881642
2019-01-25,BABA,0.02573817924482672,0.02459254988033917,0.023434981546948837
2019-01-28,BABA,0.028268493570786483,0.02573817924482672,0.02459254988033917
2019-01-29,BABA,0.029433355651993637,0.028268493570786483,0.02573817924482672
2019-01-30,BABA,0.03235833329262563,0.029433355651993637,0.028268493570786483
2019-01-31,BABA,0.04036765984458807,0.03235833329262563,0.029433355651993637
2019-02-01,BABA,0.04655711013541749,0.04036765984458807,0.03235833329262563
2019-02-04,BABA,0.05036516909255249,0.04655711013541749,0.04036765984458807
2019-02-05,BABA,0.05361917415298039,0.05036516909255249,0.04655711013541749
2019-02-06,BABA,0.060602444103648706,0.05361917415298039,0.05036516909255249
2019-02-07,BABA,0.061231182903953,0.060602444103648706,0.05361917415298039
2019-02-08,BABA,0.058150454393853065,0.061231182903953,0.060602444103648706
2019-02-11,BABA,0.05528441666583353,0.058150454393853065,0.061231182903953
2019-02-12,BABA,0.05287942737863092,0.05528441666583353,0.058150454393853065
2019-02-13,BABA,0.04789580406403103,0.05287942737863092,0.05528441666583353
2019-02-14,BABA,0.04316534838294226,0.04789580406403103,0.05287942737863092
2019-02-15,BABA,0.04064249042921702,0.04316534838294226,0.04789580406403103
2019-02-19,BABA,0.03734206714340866,0.04064249042921702,0.04316534838294226
2019-02-20,BABA,0.036067256441919486,0.03734206714340866,0.04064249042921702
2019-02-21,BABA,0.03438238196116934,0.036067256441919486,0.03734206714340866
2019-02-22,BABA,0.032597126633551535,0.03438238196116934,0.036067256441919486
2019-02-25,BABA,0.03400417715254375,0.032597126633551535,0.03438238196116934
2019-02-26,BABA,0.0392086391617183,0.03400417715254375,0.032597126633551535
2019-02-27,BABA,0.042936967299074244,0.0392086391617183,0.03400417715254375
2019-02-28,BABA,0.047063973278359525,0.042936967299074244,0.0392086391617183
2019-03-01,BABA,0.05018350555784895,0.047063973278359525,0.042936967299074244
2019-03-04,BABA,0.051222890751405126,0.05018350555784895,0.047063973278359525
2019-03-05,BABA,0.050343068965411825,0.051222890751405126,0.05018350555784895
2019-03-06,BABA,0.04826233128938382,0.050343068965411825,0.051222890751405126
2019-03-07,BABA,0.04508374443738843,0.04826233128938382,0.050343068965411825
2019-03-08,BABA,0.0397581624016224,0.04508374443738843,0.04826233128938382
2019-03-11,BABA,0.0332223789432812,0.0397581624016224,0.04508374443738843
