SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,DIFF_O&C,DIFF_H&L,PREV_POST_MARKET_VOLUME
V,2019-03-07,153425.0,6828123.0,Thursday,141.48966639987793,142.01811778664282,140.31747047319183,141.07652282714844,8761700.0,-0.41314357272949565,1.700647313450986,6599853.0
V,2019-03-08,274549.0,1240379.0,Friday,139.74101072435363,141.7010679224408,138.83784179530753,141.576171875,5168100.0,1.8351611506463712,2.863226127133288,6828123.0
V,2019-03-11,153862.0,6120773.0,Monday,142.30639720618865,145.05433037200746,142.21992732195267,144.76608276367188,9361500.0,2.459685557483226,2.8344030500547888,1240379.0
V,2019-03-12,215529.0,2796075.0,Tuesday,145.08312424946777,147.13926860272704,144.9582135569769,145.78451538085938,9465100.0,0.7013911313916026,2.1810550457501563,6120773.0
V,2019-03-13,140766.0,1976182.0,Wednesday,146.33214658636228,148.0039555222352,146.08232527070288,146.4954833984375,8308900.0,0.16333681207521522,1.9216302515323207,2796075.0
V,2019-03-14,136206.0,3518265.0,Thursday,146.5820236434801,148.6285655357821,146.33221686871556,148.1577606201172,9364900.0,1.5757369766370743,2.2963486670665247,1976182.0
V,2019-03-15,56742.0,17554236.0,Friday,147.6965685972124,150.67510268831157,147.3506744102517,149.36839294433594,20162000.0,1.6718243471235326,3.3244282780598553,3518265.0
V,2019-03-18,222245.0,8700782.0,Monday,149.81032924788977,150.281134052445,148.3691062071587,148.88795471191406,9689400.0,-0.9223745359757061,1.9120278452863033,17554236.0
V,2019-03-19,129188.0,8130991.0,Tuesday,149.83911885090902,149.83911885090902,148.10004578512374,148.53240966796875,9236100.0,-1.306709182940267,1.739073065785277,8700782.0
V,2019-03-20,161752.0,3084377.0,Wednesday,148.29221926467204,148.80145016433747,146.7261004072137,147.725341796875,6391400.0,-0.5668774677970418,2.0753497571237745,8130991.0
V,2019-03-21,121491.0,1750432.0,Thursday,147.31220480914428,150.5405300545143,147.30258727344508,149.6950225830078,7027100.0,2.382817773863536,3.237942781069222,3084377.0
V,2019-03-22,153308.0,3356843.0,Friday,148.91680075791862,149.57975114283136,146.8606561586825,147.07203674316406,8119800.0,-1.8447640147545599,2.719094984148853,1750432.0
V,2019-03-25,262872.0,1981646.0,Monday,146.3898400136787,148.02322331822043,145.60196432109834,147.03358459472656,7568000.0,0.643744581047855,2.421258997122095,3356843.0
V,2019-03-26,156191.0,17459135.0,Tuesday,147.74459888988142,149.502892958846,147.74459888988142,149.2146453857422,15594400.0,1.470046495860771,1.7582940689645739,1981646.0
V,2019-03-27,142021.0,10662989.0,Wednesday,149.37794469437543,149.75266204692142,147.35062397652996,148.1769256591797,12253800.0,-1.201019035195742,2.4020380703914554,17459135.0
V,2019-03-28,138839.0,14769069.0,Thursday,148.85913597167786,149.00326709087682,147.59086715583578,148.6093292236328,16902200.0,-0.24980674804504588,1.4123999350410372,10662989.0
V,2019-03-29,160579.0,6042795.0,Friday,149.62775121076518,150.1658053921992,148.85909609691225,150.06973266601562,12164400.0,0.44198145525044197,1.306709295286936,14769069.0
V,2019-04-01,229948.0,2198035.0,Monday,151.35720250402673,151.54936259308818,150.41560780501308,151.0977783203125,6420100.0,-0.2594241837142306,1.1337547880750947,6042795.0
V,2019-04-02,114162.0,3894636.0,Tuesday,151.48214947804905,151.95293960999308,150.60780400318367,151.59744262695312,6215100.0,0.1152931489040725,1.3451356068094071,2198035.0
V,2019-04-03,156736.0,6005302.0,Wednesday,152.3372633123356,152.8753175153993,151.66469555850597,152.25079345703125,8209300.0,-0.08646985530435813,1.210621956893334,3894636.0
V,2019-04-04,132353.0,1065848.0,Thursday,152.31806150586797,152.47179548577083,150.39643073971976,151.4629364013672,5100200.0,-0.8551251045007859,2.075364746051065,6005302.0
V,2019-04-05,117954.0,802977.0,Friday,151.80884070946354,152.41415913288802,151.06900870982034,151.47254943847656,4178300.0,-0.3362912709869761,1.345150423067679,1065848.0
V,2019-04-08,120150.0,3287410.0,Monday,151.37647387944162,151.66472144052386,150.1946750059724,151.56863403320312,5604700.0,0.19216015376150608,1.470046434551449,802977.0
V,2019-04-09,121661.0,5588209.0,Tuesday,150.4252512254059,151.7992248212573,150.3387813611515,151.31881713867188,6364100.0,0.8935659132659737,1.4604434601058074,3287410.0
V,2019-04-10,103569.0,1050112.0,Wednesday,151.79919052342817,152.55822803962783,151.34760623095946,152.3468475341797,3918600.0,0.5476570107515215,1.2106218086683782,5588209.0
V,2019-04-11,182328.0,4107913.0,Thursday,152.87533563071958,153.05789289857964,151.27077570613372,151.67431640625,5771400.0,-1.2010192244695759,1.787117192445919,1050112.0
V,2019-04-12,111541.0,4081017.0,Friday,152.49107667075438,153.38462829589844,151.6743774053105,153.38462829589844,6745100.0,0.8935516251440561,1.710250890587929,4107913.0
V,2019-04-15,109134.0,7766789.0,Monday,153.5671459662729,154.19167018847816,152.9522246213282,154.1532440185547,8142800.0,0.586098052281784,1.239445567149943,4081017.0
V,2019-04-16,150762.0,3202765.0,Tuesday,154.72971999281933,154.78738123733467,153.29811429629368,153.9514617919922,6021400.0,-0.778258200827139,1.489266941040995,7766789.0
V,2019-04-17,152310.0,953707.0,Wednesday,154.56638765397756,154.75856248623884,154.0283333097611,154.1532440185547,4609100.0,-0.4131436354228697,0.7302291764777351,3202765.0
V,2019-04-18,423702.0,5593554.0,Thursday,154.6240490310125,154.78740058623745,152.76968194152462,153.8842315673828,7859400.0,-0.7398174636296915,2.0177186447128292,953707.0
V,2019-04-22,119275.0,2066192.0,Monday,152.96180112099256,154.191643598801,152.83690509461806,154.11477661132812,4602600.0,1.1529754903355638,1.354738504182933,5593554.0
V,2019-04-23,144542.0,1313329.0,Tuesday,154.6912673025282,155.53678947988644,153.60554129395484,155.32540893554688,6522900.0,0.634141633018686,1.9312481859315938,2066192.0
V,2019-04-24,152316.0,1854413.0,Wednesday,155.41187029151004,155.68089739487863,154.35496762764953,155.1620635986328,7376500.0,-0.2498066928772289,1.3259297672290984,1313329.0
V,2019-04-25,490052.0,1267699.0,Thursday,154.2301177328927,155.26780029657223,152.33730990759963,154.7105255126953,8862500.0,0.4804077798026185,2.9304903889726006,1854413.0
V,2019-04-26,116584.0,4922511.0,Friday,154.9410791516186,156.6417264381125,154.1147773583783,156.54563903808594,7525400.0,1.6045598864673423,2.5269490797342087,1267699.0
V,2019-04-29,131790.0,7626598.0,Monday,156.81469552657222,158.05414100218505,156.7090052409866,157.7178497314453,10003600.0,0.9031542048730898,1.345135761198435,4922511.0
V,2019-04-30,167022.0,1964327.0,Tuesday,158.5153288711998,159.20711716822404,157.4968668397142,157.98687744140625,6432700.0,-0.528451429793563,1.7102503285098578,7626598.0
